Layer:     LL
Test Case: TC_DDI_SCN_BV_01
Date:      14/12/15
Time:      21:44:56

00:00:00:080494  TX ---> LL_LC_RESET_REQ
00:00:00:696892  RX <--- LL_LC_RESET_CFM
00:00:00:698688  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:701204  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:703743  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:706184  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:707619  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:710061  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:715702          TX ---> HCI_RESET
00:00:00:833090          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:845867          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:087037          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:099185          TX ---> HCI_SET_EVENT_MASK
00:00:01:194105          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:205359          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:282247          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:295435          TX ---> HCI_READ_BD_ADDR
00:00:01:379357          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:393749          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:480421          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:491738          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:564820          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:579426  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:583125  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:585156  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:587411  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:588776  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:591850  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:594191  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
