Layer:     LL
Test Case: TC_DDI_ADV_BV_01
Date:      14/12/15
Time:      19:38:37

00:00:00:084882  TX ---> LL_LC_RESET_REQ
00:00:00:573267  RX <--- LL_LC_RESET_CFM
00:00:00:574601  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:577386  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:578838  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:581344  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:582745  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:585278  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:590011          TX ---> HCI_RESET
00:00:00:834106          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:846967          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:126212          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:146107          TX ---> HCI_SET_EVENT_MASK
00:00:01:224089          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:239088          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:311737          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:332616          TX ---> HCI_READ_BD_ADDR
00:00:01:422526          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:437917          TX ---> HCI_LE_SET_ADVERTISING_PARAMETERS
00:00:01:536845          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_PARAMETERS, Status: Success - 0x00)
00:00:01:562420          TX ---> HCI_LE_SET_ADVERTISING_DATA
00:00:01:643408          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_DATA, Status: Success - 0x00)
00:00:01:668859  TX ---> LL_LC_MONITOR_MODE_REQ
00:00:01:671676          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x01)
00:00:01:752128          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:11:692700  RX <--- LL_LC_MONITOR_MODE_CFM
00:00:16:566584          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x00)
00:00:16:673144          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)

Final Verdict: PASS
