Layer:     LL
Test Case: TC_DDI_SCN_BV_10
Date:      14/12/15
Time:      21:45:21

00:00:00:112739  TX ---> LL_LC_RESET_REQ
00:00:00:574262  RX <--- LL_LC_RESET_CFM
00:00:00:575632  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:578132  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:579797  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:582251  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:583680  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:586121  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:597968          TX ---> HCI_RESET
00:00:00:864076          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:877647          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:134400          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:146483          TX ---> HCI_SET_EVENT_MASK
00:00:01:266647          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:277623          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:389300          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:402461          TX ---> HCI_READ_BD_ADDR
00:00:01:517144          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:532056          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:648031          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:659978          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:807486          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:843282  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:845873  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:847132  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:850587  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:852856  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:929538  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:930770  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:01:934398  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:107565          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:110585          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:02:117723  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:02:122052  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:247023          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:253831          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:02:270044  TX ---> LL_LC_RESET_REQ
00:00:02:272397  RX <--- LL_LC_RESET_CFM
00:00:02:273564  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:02:276006  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:02:277327  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:02:279664  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:02:280858  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:02:283133  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:02:287901          TX ---> HCI_RESET
00:00:02:581243          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:02:603737          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:02:820669          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:02:833078          TX ---> HCI_SET_EVENT_MASK
00:00:02:984678          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:02:997897          TX ---> HCI_LE_SET_EVENT_MASK
