Layer:     LL
00:00:05:937670  TX ---> LL_LC_RESET_REQ
00:00:05:939934  RX <--- LL_LC_RESET_CFM
00:00:05:941418  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:05:943795  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:05:945019  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:05:947558  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:05:948877  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:05:951157  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:05:955875          TX ---> HCI_RESET
00:00:06:225504          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:06:236849          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:06:361023          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:06:372717          TX ---> HCI_SET_EVENT_MASK
00:00:06:483318          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:06:495019          TX ---> HCI_LE_SET_EVENT_MASK
00:00:06:617658          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:06:629845          TX ---> HCI_READ_BD_ADDR
00:00:06:750478          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:06:763192          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:06:873174          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:06:885125          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:07:015104          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:07:027866  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:07:031375  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:07:033357  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:07:035625  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:07:036799  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:07:039828  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:07:042319  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:07:044852  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:08:156242          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:08:159174          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:08:164964  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:08:167350  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:08:327584          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)

Final Verdict: PASS
