Layer:     LL
Test Case: TC_DDI_SCN_BV_11
Date:      14/12/15
Time:      21:45:44

00:00:00:093252  TX ---> LL_LC_RESET_REQ
00:00:00:589946  RX <--- LL_LC_RESET_CFM
00:00:00:591330  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:593786  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:595421  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:597875  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:599316  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:601790  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:607821          TX ---> HCI_RESET
00:00:00:896088          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:908636          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:165235          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:177466          TX ---> HCI_SET_EVENT_MASK
00:00:01:295288          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:306369          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:420329          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:433530          TX ---> HCI_READ_BD_ADDR
00:00:01:546473          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:560797          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:680203          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:691525          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:777291          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:818100  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:821419  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:845149  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:900628  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:901981  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:905089  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:907258  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:01:909874  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:090492          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:092834          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:096397          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:02:102339  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:02:108674          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:110307          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:113920          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:115401          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:128573          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:130277          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:133750          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:372944          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:377209          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:378640          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:381651  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:383334          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:388498          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:394828          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:02:422922  TX ---> LL_LC_RESET_REQ
00:00:02:425286  RX <--- LL_LC_RESET_CFM
00:00:02:426474  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:02:428970  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:02:430187  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:02:676565  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:02:678603  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:02:680892  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:02:685685          TX ---> HCI_RESET
00:00:02:847252          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:02:858715          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:03:176989          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:03:190922          TX ---> HCI_SET_EVENT_MASK
00:00:03:311036          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:03:322838          TX ---> HCI_LE_SET_EVENT_MASK
00:00:03:435777          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:03:447016          TX ---> HCI_READ_BD_ADDR
00:00:03:565768          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:03:578646          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:03:686492          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:03:697595          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:03:820350          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:03:836735  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:03:841670  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:03:842927  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:03:846066  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:03:848376  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:03:850890  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:03:852054  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:03:855330  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:04:111554          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:113741          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:116869          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:04:144006  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:04:146901          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:148545          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:152685          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:154550          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:158034          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:159555          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:163184          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:164554          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:424976          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:426691          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:430361          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:432045          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:435546          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:436927          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:440704          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:441364  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:04:447871          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:449335          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:452452          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:454035          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:04:462234          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:04:743139  TX ---> LL_LC_RESET_REQ
00:00:04:863565  RX <--- LL_LC_RESET_CFM
00:00:04:864753  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:04:867021  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:04:868192  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:04:870470  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:04:871751  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:04:873971  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:04:878903          TX ---> HCI_RESET
00:00:05:113423          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:05:145081          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
